id,name,published_date,description,geography,source_url,topics,sectors,status,updated_date
CCLW.document.i00001039.n0000,Resolution 156/ 2014 from the National Water Resources Council,09/06/2014,"<p>It establishes guidelines for education capacity building, social mobilization, information and communication for perception of risks and vulnerabilities, and prevention, mitigation and increase resilience to water-related disasters.</p>
",Brazil,https://www.ceivap.org.br/ligislacao/Resolucoes-CNRH/resolucao-cnrh-156.pdf,"[""Mitigation"",""Adaptation""]","Finance, Agriculture",active,2025-02-09T05:18:56.840Z
CCLW.document.i00001425.n0000,Law No. 121 on offshore wind energy,30/04/2024,"<p>In May 2024, Romania adopted its first offshore wind energy law. The law creates the legislative framework to develop offshore wind projects in the Romanian Black Sea.</p>
",Romania,https://www.cdep.ro/pls/legis/legis_pck.htp_act?ida=203222,"[""Mitigation""]","Forestry, Industry",active,2025-02-17T23:13:33.803Z
CCLW.document.i00000016.n0000,"Decree 2015-1850 of December 29, 2015 taken pursuant to Article L. 533-22-1 of the Monetary and Financial Code",01/01/2023,"<p>This Decree replaces Article D. 533-16-1 of the Monetary and Financial Code. It elaborates on the standard of information that entities and portfolio management companies, to which the Code applies, must disclose around their ESG investment policies. Article 1.III states that the criteria related to environmental objectives must include an assessment of physical and transition risks, and an assessment of the entity's progress towards achieving the objectives of the energy and ecological transition (set out in Article L. 533-22.1 of the Monetary Code).&nbsp;</p>
",France,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000031740341,"[""Mitigation""]",Energy,active,2025-03-18T05:56:39.479Z
CCLW.document.i00001122.n0000,Plan of Phase out or Reconversion of Coal Units,30/10/2020,"<p>This policy document from the Ministry of Eenergy sets out the outcomes of the Phase Out and/ or Reconversion of Coal Units Roundtable"" and the resulting ""Zero Carbon Energy Agreement"" reached between the Ministry of Energy and coal-fired power plant owners in 2019. The document lays out plans for further roundtable meetings every 5 years to set further phase out schedules.</p>
",Chile,https://energia.gob.cl/sites/default/files/folleto_estrategia_desc_eng_30102020.pdf,"[""Mitigation""]","Education, Industry",active,2025-02-19T09:23:55.759Z
CCLW.document.i00001434.n0000,Carbon Management Strategy,26/02/2024,"<p>In February 2024, Germany approves a new carbon management strategy, setting out the use of CCS / CCU.&nbsp;</p>
",Germany,https://www.bmwk.de/Redaktion/DE/Downloads/E/240226-eckpunkte-cms.pdf?__blob=publicationFile&v=12,"[""Mitigation""]","Energy, Water",active,2025-03-18T00:24:50.426Z
CCLW.document.i00000020.n0000,Monetary and Financial Code,03/08/2023,"<p>Article L533-22-1 of the Monetary and Financial Code of France was modified with the passage of France's Law 2015-992 in 2015. In the current version of Article L533-22-1, which has been in force since March 2021, portfolio management companies must include information on the risks associated with climate change (as well as on risks linked to biodiversity), as part of their compliance with the obligations set out in Article 3 of the EU Regulation 2022/1288, which contains the technical standards financial market participants must be when disclosing sustainability-related information under the Sustainable Finance Disclosures Regulation (SFDR). If companies choose not to publish certain pieces of information in their statements, they must justify why they have not done so.<br>&nbsp;</p>
",France,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000039369676,"[""Mitigation""]","Water, Finance",inactive,2025-02-15T01:51:25.615Z
CCLW.document.i00000397.n0000,National Water Basin Management Strategy 2014-2023,04/07/2014,"<p>This strategy aims to improve watershed management and biodiversity conservation, by preventing environmental degradation in water catchment basins, promoting effective agricultural practices, and developing a biodiversity monitoring system. It further seeks to integrate climate change mitigation and adaptation strategies in water basin management to increase resilience against climate-change related disasters.&nbsp;&nbsp;</p>
",Turkey,https://faolex.fao.org/docs/pdf/tur180975.pdf,"[""Adaptation""]","Agriculture, Tourism",active,2025-02-24T00:10:30.508Z
CCLW.document.i00001257.n0000,Anti-greenwashing rule ,31/05/2024,"<p>The Financial Conduct Authority (FCA) Handbook includes an 'anti-greenwashing rule' (ESG 4.3.1R), which applies to all communications that mention sustainability-linked characteristics of products or services available for clients in the UK by FCA-authorised firms. The rule tooke ffect from 31 May 2024.&nbsp;</p>
",United Kingdom,https://www.handbook.fca.org.uk/handbook/ESG/4/3.html?date=2104-01-01,"[""Mitigation""]",Forestry,active,2025-03-23T08:51:27.365Z
CCLW.document.i00000022.n0000,Commercial Code,03/08/2023,"<p>Article L225-102-1 of France's Commercial Code includes provisions on non-financial disclosure obligations for companies to which the Code applies. Companies that exceed certain thresholds set by the Council of State (in Article L 225-100), are required to produce a declaration of extra-financial performance in their management reports. Companies that are mentioned in article L. 233-16 are required to publish a consolidated statement of their extra-financial performance exceed certain thresholds, also set by decree in the Council of State. The declaration must include particular information relating to the impact of the company on climate change (as well as the company's social commitments on sustainable development, the circular economy, measures to reduce food waste and to reduce food insecurity, as well as other SDG and ESG linked measures). The information the company must provide relating to its climate change impacts must include direct and indirect greenhouse gas emissions linked to transport activities upstream and downstream of the company's activities (scope 3 emissions) and must be accompanied by an action plan aimed at reducing these emissions (in particular, through the use of rail and river-based transport methods, as well as biofuels with a low carbon footprint, and electromobility).</p>
",France,https://www.legifrance.gouv.fr/codes/id/LEGIARTI000047926145/2023-08-03,"[""Mitigation""]","Industry, Water",active,2025-04-03T12:55:08.868Z
CCLW.document.i00000024.n0000,"Law on Spatial Planning and Construction 2013, amended in 2019 ",01/04/2013,"<p>This law outlines the methodological approach to designing spatial planning documents, with a focus on climate change. It encourages energy-efficient building, inclusion of bio-climactic factors in location selection of buildings, and consideration of protective measures against natural disasters and technical failures.&nbsp;</p>
",Bosnia and Herzegovina,https://www.paragraf.ba/propisi/republika-srpska/zakon-o-uredjenju-prostora-i-gradjenju.html,"[""Adaptation"",""Disaster Risk Management""]",Education,active,2025-03-20T23:04:51.377Z
CCLW.document.i00000040.n0000,Decree on the Types of Activities and Gases with a Greenhouse Effect,12/02/2021,"<p>This Decree is based on the provisions of Serbia’s Law on Climate Change. It specifies the types of greenhouse gases (GHG) and greenhouse gas emitting activities required to obtain permits and submit monitoring plans. It further determines types of aviation activities for which permits and monitoring plans are not mandatory.</p>
",Serbia,https://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/vlada/uredba/2022/13/1,"[""Mitigation""]","Buildings, Energy",active,2025-04-03T10:07:38.554Z
CCLW.document.i00001407.n0000,Decree no. 20 - National Forestry Strategy 2018 - 2050,28/03/2019,"<p>This Decree approves the National Forestry Strategy 2018-20150, which aims to increase forest cover, stimulate the sustainable forestry industry, conserve Panama’s forest heritage as an important basis for ecosystems and mitigate the effects of climate change.</p>
",Panama,https://faolex.fao.org/docs/pdf/pan189959.pdf,"[""Mitigation""]",Industry,active,2025-03-06T12:10:51.164Z
CCLW.document.i00000042.n0000,Regulation on Fuel Economy Data and CO2 Emissions for New Passenger Vehicles,24/09/2022,"<p>This regulation is based on the provisions of the Serbian Law for Climate Change. It seeks to reduce greenhouse gas emissions and air pollutants by regulating the label content, model, and promotional materials of new passenger vehicles in the Republic of Serbia.</p>
",Serbia,https://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/ministarstva/pravilnik/2022/107/1/reg,"[""Mitigation""]",Industry,active,2025-02-13T16:57:02.656Z
CCLW.executive.10000.4494,National Home Retrofit Scheme 2020 (One Stop Shop Development Call),01/01/2020,"<p>This scheme is aimed at engaging groups of private households, registered Housing Associations and Local Authorities and Energy Utilities or other organisations who wish to participate in delivering a “One Stop Shop” type service for energy efficiency works.</p>
",Ireland,https://www.seai.ie/grants/national-home-retrofit/National-Home-Retrofit-Scheme-Guidelines.pdf,"[""Mitigation""]",Health,active,2025-03-17T06:24:47.621Z
CCLW.document.i00000678.n0000,Law on power market,08/12/2017,"<p>The present law was signed by the Polish President in December 2017. The law aims at enhancing the security of electricity supply and new energy capacity sources, especially renewables. The law introduces a market-wide capacity mechanism. Generation and demand-response capacity providers will be able to receive remuneration for their availability to generate electricity or to reduce their electricity consumption.</p>
",Poland,https://monitorpolski.gov.pl/D2021000150501.pdf,"[""Mitigation""]",Education,inactive,2025-03-30T21:56:55.197Z
CCLW.executive.10183.4768,National Security Strategy 2018,01/01/2018,"The National Security Strategy builds on the National Security Policy 2017-2022 to implement necessary changes, including on climate change aspects. It integrates the State’s major security policies, goals, responsibilities and courses of action into a roadmap or blueprint for the fulfilment of the national security vision.",Philippines,https://apcss.org/wp-content/uploads/2020/02/Philippines-National_Security_Strategy_2018.pdf,"[""Adaptation"",""Disaster Risk Management"",""Mitigation"",""Loss And Damage""]",Education,active,2025-02-07T11:49:47.450Z
CCLW.executive.10038.rtl_289,Green hydrogen roadmap,06/10/2020,This document aims at fostering the production and use of green hydrogen in Spain. The government announced that it will invest 1.5 billion euros by 2023 to foster the production of renewable-energy-sourced hydrogen in the country.,Spain,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/hoja_de_ruta_del_hidrogeno.pdf,"[""Mitigation""]",Energy,active,2025-03-19T12:24:18.596Z
CCLW.executive.10044.4522,Suriname National REDD+ Strategy,30/10/2019,This document aims to protect Suriname's forests and enhance its carbon storage facilities.,Suriname,https://redd.unfccc.int/files/national_redd__strategy_of_suriname_en_web.pdf,"[""Mitigation""]","Buildings, Finance",active,2025-03-24T21:26:16.208Z
CCLW.document.i00000618.n0000,The Electricity Proclamation (No. 86-1997),07/07/1997,"<p>The proclamation establishes the Ethiopian Electricity Agency (EEA) as an autonomous federal government organ (later changed to Ethiopian Energy Agency). The Agency's mandate is to regulate the operation of the energy sector on technical and economic issues - from standards, efficiency and reliability, to tariffs.</p>
",Ethiopia,https://land.igad.int/index.php/documents-1/countries/ethiopia/urbanization-1/laws/368-electricity-proclamation-1997/file,"[""Mitigation""]","Energy, Education",active,2025-03-14T12:52:58.923Z
CCLW.document.i00000638.n0000,National climate change strategy for the waste sector 2021,16/04/2021,"<p>The vision of the National Climate Change Strategy for the Waste Sector is to effectively and sustainably manage solid and liquid waste in all of Madagascar's communes by strengthening the institutional, organisational and legal framework, building capacity for the implementation of the UNFCCC and the Paris Agreement at national level, and improving the quality of waste management.</p>
<p>In line with the commitments made by the Malagasy government, the strategy has 6 priority areas:</p>
<ol>
<li>Strengthen the institutional arrangement and the legal and regulatory framework for the waste sector, by taking account of the climate change dimension</li>
<li>Implementation of a capacity-building plan for all stakeholders involved in greenhouse gas inventories, the data collection and management system, waste recovery and reporting</li>
<li>Development of a data exchange flow mechanism through the promotion of inter ministerial collaboration</li>
<li>Strengthen the monitoring and evaluation system</li>
<li>Establishment of a sustainable funding and budget programming mechanism</li>
<li>Implementation of a skills and technology transfer mechanism</li>
</ol>
",Madagascar,https://www.environnement.mg/wp-content/uploads/2021/04/STRATEGIE-NATIONALE-DU-CHANGEMENT-CLIMATIQUE-POUR-LE-SECTEUR-DECHET.pdf,[],"Forestry, Finance",active,2025-02-20T14:23:16.195Z
CCLW.executive.10092.0,Decree 786/04,09/08/2004,"<p>This document creates the Offices of Climate Change and Clean Development Mechanism.</p>
",Dominican Republic,https://faolex.fao.org/docs/pdf/dom135427.pdf,"[""Adaptation"",""Mitigation""]",Waste,active,2025-02-07T02:49:22.910Z
CCLW.executive.10010.4530,National Strategy for REDD+ 2017-2030 (ENAREDD+),18/08/2017,This document sets Mexico's strategy to protect its forests.,Mexico,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaFVPIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--499ed3a37e9aca8721d10424e6258eca9f7a3c1b/InterioresENAREDD-final-170817%20BAJA%20web%20(1).pdf,"[""Adaptation"",""Mitigation""]",Agriculture,active,2025-02-23T08:23:46.495Z
CCLW.document.i00000681.n0000,"Act on Renewable Energy Sources ('RES Act', Dz.U. 2015 poz. 478)",20/02/2015,"<ul>
<li>This Act defines the new regime for support to renewable energy sources (including wind energy, energy radiation of the sun, solar, aerothermal, geothermal, hydrothermal energy, hydropower, waves, currents error and tidal energy obtained from biomass, biogas, agricultural biogas and bioliquid - art. 2.22), aiming to stabilise the long-term support system, with the goal to prevent electricity prices form increasing in an uncontrolled manner. The Act also transposes the Directive 2009/28/EC on renewable energy into Polish legislation and aims to contribute to Poland's target of reaching 15% share of renewable energy production by 2020. The Act will provide continuing support to most existing installations (in operation by or before 31 December 2015) through certificates of origin, while future investments will compete for support through an auction system organised by the President of the Energy Regulatory Office (ERO). The auctions, applying to new installations over 10 kW of installed capacity, will be based on a type of contract-for-difference (CfD) granted, with separate auctions for old and new plants and for plants of 1 MW or less, as well as varied reference prices for the eighteen renewable sources reference groups. The chosen renewable plants will have to start generation within 24 months (solar plants), 72 months (wind plants) or 48 months (others), and they will be required to deliver at least 85% of the volume offered in the bid, under threat of penalty. The energy auctioned will be bought by the newly formed state-owned entity Operator Rozlicze? Energii Odnawialnej (for energy produced in installations above 500kW) or by electricity distribution companies (for energy produced in installations up to 500kW). Most existing installations will also be eligible to change to the auction support instrument from the current certificates of origin, except for hydropower plants over 5 MW, non-qualified biomass co-firing installations (art. 44) and biomass installations exceeding 50 MW of electrical power (or 150 MW of CHP power). The existing installations will continue to be eligible for the existing system of support through certificates of origin (introduced through the 1997 Energy Law), but a number of limits will apply:&nbsp;</li>
<ul>
<li>support for max 15 years from the start of renewable energy production in the given installation;</li>
<li>support for hydropower of max 5 MW of capacity;</li>
<li>support for biomass co-firing installations of less than 150 MW capacity capped to equivalent of the average generation over 2011-2013;</li>
<li>large consumers (over 100 GWh of electricity consumed annually) and commodity brokerage houses are required to obtain certificates of origin for 14% and 15% of their annual electricity consumption for 2015 and 2016 respectively or pay the substitution fee. From 2017 the share is min 20%, but can be reduced by the Minister of Economy, if necessary due to specific market conditions. A unit substitution fee is set to a constant 300.03 PLN/MWh (2014 level, approx. 72 €/MWh), which should stabilise the price of certificates, as purchasing and redeeming of certificates of origin will only be allowed if the average market price of certificates remains below 75% of the substitution fee.</li>
</ul>
</ul>
<p><br></p>
<p>The Act also introduces a feed-in tariff system for micro installations of up to 10 kW (max 40 kW under special conditions - art. 41.7), while guaranteeing purchase by electricity distribution companies at 100% of market price for the next 15 years, until no later than December 31, 2035 (art. 41.5). The support also covers the so-called ‘prosumers,' who both produce and consume their own electricity. The subsidies amount to PLN 0.75 (EUR 0.18) per kWh to prosumers with a capacity of up to 3 kW (hydropower, wind, solar), and PLN 0.40-0.70 (EUR 0.10-0.17) for those with a capacity between 3 and 10 kW (biogas, hydropower, wind, solar). Moreover, there are no licensing/concession requirements for those micro generators that do not have active business. The Act was amended in June 2018, alongside the 2016 Act on investments in wind power and the 1994 Construction Act, in order to boost offshore wind investment. It was further amended in August 2019 to extend the agreements on grid connection and updates the auction mechanism.<br><br>The Act was notably amended by bill 1129/2021 to extend the period for auctions of energy sales, set auction volumes, and remove obligations for small producers of renewable energy.</p>
",Poland,https://monitorpolski.gov.pl/D2022000237001.pdf,"[""Mitigation""]",Waste,active,2025-03-30T18:14:14.188Z
CCLW.document.i00000721.n0000,The National Strategy on Adaptation to Climate Change 2022-2030 (First version),14/06/2022,"<p>The National Strategy on Adaptation to Climate Change for the period 2022- 2030 to 2050 (SNASC) and the National Action Plan for implementation of the National Strategy on Adaptation to Climate Change (NSSAC) focus on adaptation strategies in the following sectors/areas:</p>
<ul>
<li>Forests</li>
<li>Biodiversity and ecosystem services</li>
<li>Population, public health and air quality</li>
<li>Education and awareness</li>
<li>Cultural heritage</li>
<li>Urban systems</li>
<li>Agriculture and rural development</li>
<li>Energy</li>
<li>Transport</li>
<li>Tourism</li>
<li>Industry</li>
</ul>
",Romania,https://www.mmediu.ro/app/webroot/uploads/files/SNASC_SEA_2022.pdf,"[""Adaptation""]",Health,active,2025-03-10T11:41:25.597Z
CCLW.document.i00000787.n0000,Disclosure Standards for ESG funds ,05/10/2023,"<p>These Standards require an ESG-related fund to disclose its ESG objectives and the standards and processes used to select the underlying ESG investments.&nbsp;</p>
",South Korea,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=130716&menuNo=200218&cl1Cd=&sdate=&edate=&searchCnd=1&searchWrd=esg&pageIndex=1,"[""Mitigation""]","Water, Forestry",active,2025-03-01T08:48:24.868Z
CCLW.document.i00000869.n0000,National Employment Policy,01/01/2018,"<p>The National Employment Policy aims to improve the employment opportunities in Fiji to cope with socio-economic developments as well as climate change and natural disasters. The policy places emphasis on a just transition for the work force in the context of climate change by identifying and promoting green jobs and new green skill sets.&nbsp;</p>
",Fiji,https://faolex.fao.org/docs/pdf/fij199548.pdf,"[""Adaptation""]",Water,active,2025-03-21T02:30:55.110Z
CCLW.document.i00001159.n0000,Botswana Integrated Water Resources Management & Water Efficiency Plan,01/05/2013,"<p>As a semi-arid country, Botswana experiences drought years which are intensified by climate change and fresh-water supply issues. The plan therefore uses integrated solutions for water resources management, which were developed through stakeholder consultations. The resulting strategic areas are for example efficiency of water allocation; or water supply and demand management.</p>
",Botswana,https://www.gwp.org/globalassets/global/activities/impact-stories/further-reading/iwrm-we-plan.pdf,"[""Adaptation""]","Tourism, Finance",active,2025-02-17T20:35:58.110Z
CCLW.document.i00001160.n0000,Botswana Integrated Water Resources Management & Water Efficiency Plan,01/05/2013,"<p>As a semi-arid country, Botswana experiences drought years which are intensified by climate change and fresh-water supply issues. The plan therefore uses integrated solutions for water resources management, which were developed through stakeholder consultations. The resulting strategic areas are for example efficiency of water allocation; or water supply and demand management.</p>
",Botswana,https://www.water.gov.bw/images/Reports/Final%20Botswana%20IWRM%20WE%20Plan%20Vol%202%20Version%204%20(Web-Optimised).pdf,"[""Adaptation""]",Transportation,inactive,2025-03-24T23:38:32.296Z
CCLW.executive.10102.5043,National Hydrogen Strategy,20/05/2020,The government approved its hydrogen strategy in May 2020.,Hungary,https://cdn.kormany.hu/uploads/document/6/61/61a/61aa5f835ccf3e726fb5795f766f3768f7f829c1.pdf,"[""Mitigation""]","Industry, Tourism",inactive,2025-03-17T23:55:27.612Z
